transaction_id,user_id,amount,transaction_date
1001,13,$58.00 ,2024-06-02T12:18:59Z
1002,62,$27.00 ,2024-06-02T12:18:59Z
1003,15,$116.00 ,2024-06-02T12:18:59Z
1004,37,$97.00 ,2024-06-05T21:51:21Z
1005,80,$49.00 ,2024-06-05T15:37:18Z
1006,5,$148.00 ,2024-06-05T15:37:18Z
1007,37,$104.00 ,2024-06-05T15:37:18Z
1008,55,$90.00 ,2024-06-05T15:37:18Z
1009,57,$30.00 ,2024-06-05T15:37:18Z
1010,14,$96.00 ,2024-06-05T13:57:55Z
995,96,$76.00 ,2023-11-03T17:49:37Z
996,24,$113.00 ,2023-11-26T19:49:33Z
997,3,$104.00 ,2024-04-15T22:25:15Z
998,97,$142.00 ,2024-01-02T14:47:37Z
999,52,$120.00 ,2024-01-04T23:55:07Z
1000,98,$49.00 ,2024-02-04T06:03:56Z
